110272,$1558200,9,37,40,''
137161,$300,3,37,40,''
170075,$100,2,26,,''
170941,$0,1,30,30,''
226240,$100,3,24,,''
269518,$100,1,33,34,''
282904,$500000,5,40,,''
283932,$86.4,3,50,51,''
298712,$0,5,38,,''
303395,$2500000,5,48,42,''
326477,$0,0,52,53,''
335273,$0,0,59,70,''
339726,$0,3,46,,''
340159,$290400,5,58,60,''
342795,$0,2,39,42,''
347617,$0,1,33,,''
347925,$146.9,8,30,,''
348471,$105.768,3,29,,''
350009,$0,0,42,42,''
357537,$0,7,39,36,''
360886,$0,0,52,49,''
361715,$0,0,92,90,''
368790,$100.00999999999999,7,26,,''
369892,$0,6,43,,''
372741,$209811,1,30,,''
374479,$14,7,32,,''
376222,$350035,4,41,39,''
384163,$0,4,49,,''
385354,$0,0,40,,''
389012,$0,0,35,36,''
390261,$0,0,40,,''
391799,$0,0,72,,''
391900,$0,0,64,2023,''
392327,$0,0,30,,''
392516,$0,1,65,,''
392553,$1260000,9,52,,''
393408,$0,8,62,,''
393666,$0,0,40,37,''
393719,$0,0,47,43,''
393839,$0,0,38,32,''
393901,$0,1,45,42,''
393962,$0,0,43,,''
394031,$98,3,30,,''
394140,$0,0,40,,''
394203,$0,0,40,,''
394213,$3165450,9,61,58,''
394308,$0,6,32,,''
394315,$0,0,40,,''
394394,$0,0,34,,''
394396,$0,3,24,,''
394425,$0,0,52,53,''
394433,$0,0,68,,''
394446,$98760,5,24,,''
394458,$0,3,38,,''
394521,$0,0,40,,''
394524,$627000,3,38,,''
394591,$0,0,33,,''
394595,$124200,4,35,,''
394597,$2654100,6,55,59,''
394697,$0,0,57,2023,''
394816,$0,1,54,,''
394818,$0,7,40,,''
394911,$499300,6,41,3,''
394967,$0,0,30,,''
394988,$1697400,6,70,71,''
394989,$650000,7,29,,''
395088,$371371,13,33,33,''
395142,$555000,3,40,,''
395179,$0,4,35,,''
395287,$1398600,8,62,,''
395326,$0,0,55,,''
395338,$0,0,58,,''
395393,$725725,6,44,,''
395415,$247500,2,43,,''
395568,$0,0,37,,''
395602,$474525,4,40,,''
395626,$0,4,38,,''
395647,$0,0,61,59,''
395720,$0,0,25,,''
395761,$100.07000000000001,6,51,57,''
395824,$0,4,35,40,''
395834,$0,4,64,,''
395906,$50000,4,23,1,''
396154,$0.762,7,50,42,''
396171,$0,0,40,40,''
396230,$700000,3,47,41,''
396362,$768900,2,65,64,''
396366,$0,0,38,36,''
396519,$0,1,34,,''
396536,$0,0,24,,''
396538,$1782000,6,58,57,''
396623,$97,6,44,42,''
396671,$0,0,54,62,''
396699,$140000,6,42,41,''
396725,$258000,4,33,,''
396741,$0,0,28,,''
396766,$900000,5,41,39,''
396804,$25250,5,39,,''
396864,$0,0,41,,''
396940,$0,0,32,,''
396946,$4095900,3,57,,''
396948,$0,0,67,65,''
397007,$250000,2,40,,''
397038,$0,0,31,29,''
397048,$0,0,47,43,''
397084,$0,1,57,57,''
397103,$0,0,59,75,''
397113,$0,0,47,,''
397122,$0,5,40,,''
397134,$3204585,15,51,50,''
397143,$0,0,20,,''
397167,$0,0,58,,''
397173,$0,0,35,,''
397187,$1098900,8,37,,''
397191,$0,0,38,,''
397339,$0,4,31,,''
397411,$0,0,36,,''
397422,$10,2,39,,''
397446,$0,6,49,43,''
397527,$1062000,3,37,,''
397622,$0,0,71,70,''
397626,$0,0,55,48,''
397658,$0,0,70,,''
397741,$0,1,29,,''
397762,$0,0,26,,''
397824,$0,0,50,,''
397856,$0,1,37,38,''
397864,$1750,2,28,26,''
397878,$0,0,42,,''
398089,$0,0,43,,''
398159,$330000,5,31,31,''
398198,$0,0,54,,''
398208,$0,7,38,,''
398244,$0,0,55,,''
398252,$0,0,48,,''
398253,$812000,4,61,62,''
398273,$2700000,5,44,46,''
398278,$0,0,66,65,''
398352,$190000,4,38,32,''
398356,$0,0,56,47,''
398399,$5200000,5,70,65,''
398420,$0,0,53,52,''
398509,$0,0,51,49,''
398531,$0,0,42,,''
398593,$0,0,33,,''
398626,$0,0,24,,''
398654,$0,0,36,,''
398662,$392000,5,40,,''
398729,$0,0,41,41,''
398748,$499620,11,31,32,''
398753,$0,0,58,,''
398819,$591500,6,40,35,''
398854,$0,0,56,47,''
398865,$0,0,36,31,''
398896,$220000,4,24,,''
398981,$0,1,62,60,''
398987,$2594800,12,45,48,''
399066,$800000,5,38,35,''
399135,$400,5,45,,''
399157,$0,8,30,,''
399167,$0,2,43,41,''
399237,$7112880,2,48,,''
399253,$140000,4,64,,''
399289,$3028000,10,56,57,''
399523,$0,0,50,10,''
399543,$0,0,33,,''
399572,$0,0,32,34,''
399671,$0,0,36,,''
399722,$0,0,63,,''
399761,$0,0,36,,''
399771,$0,2,54,,''
399772,$0,0,44,,''
399800,$0,8,63,67,''
399976,$0,6,32,,''
400039,$0,0,46,,''
400167,$0,1,41,41,''
400186,$0,0,53,,''
400341,$0,0,53,,''
400376,$0,0,60,60,''
400445,$0,0,58,60,''
400471,$0,0,63,,''
400499,$0,0,46,,''
400535,$0,0,30,,''
400552,$0,2,58,72,''
400685,$1750000,6,38,39,''
400698,$10530,2,34,36,''
400794,$1700000,3,77,,''
400854,$0,2,38,39,''
400894,$0,0,31,,''
400922,$1390000,7,70,75,''
400941,$0,0,29,,''
401045,$0,5,74,,''
401060,$0,1,27,26,''
401111,$100,9,53,53,''
401115,$0,0,43,40,''
401183,$0,0,59,39,''
401205,$0,0,49,43,''
401308,$760000,5,88,,''
401482,$0,5,38,36,''
401495,$0,2,66,64,''
401516,$0,0,35,33,''
401595,$100,6,42,37,''
401657,$0,0,55,59,''
401769,$0,3,36,,''
401780,$0,3,22,,''
401799,$0,0,30,,''
401847,$0,0,29,,''
401880,$0,0,42,40,''
401991,$0,1,53,,''
402037,$0,0,82,78,''
402102,$99.9,5,40,,''
402162,$0,4,40,,''
402195,$259350,5,33,28,''
402197,$2500000,6,44,43,''
402297,$1363435,8,49,49,''
402329,$0,0,35,34,''
402405,$0,1,43,,''
402521,$0,0,36,,''
402538,$0,0,45,,''
402541,$0,1,33,37,''
402572,$1539460,9,43,37,''
402678,$0,0,36,,''
402721,$1715850,10,31,32,''
402755,$2244580,9,49,47,''
402772,$474890,3,45,,''
402788,$0,1,28,29,''
402843,$0,0,30,,''
402906,$900000,2,36,,''
402951,$1352390.0000000002,6,57,58,''
402976,$0,0,68,,''
402999,$0,0,28,,''
403017,$2940000,2,48,49,''
403046,$0,0,42,,''
403074,$0,4,52,,''
403082,$0,0,20,,''
403090,$0,9,55,59,''
403174,$943800,4,43,38,''
403191,$98000,3,25,,''
403200,$0,1,38,,''
403203,$0,1,35,,''
403221,$95000,3,24,,''
403241,$312000,9,45,,''
403272,$0,0,69,,''
403296,$0,1,71,,''
403329,$1500000,8,35,,''
403335,$0,8,58,47,''
403375,$0,0,42,,''
403389,$0,0,30,,''
403391,$0,8,58,55,''
403395,$1401400,9,46,47,''
403451,$600,7,30,,''
403453,$741000,7,38,38,''
403512,$0,0,35,,''
403534,$0,0,62,1960,''
403549,$348000,3,37,38,''
403597,$100,6,66,,''
403648,$94.3,6,73,,''
403673,$97.63099999999999,10,35,36,''
403704,$0,0,31,,''
403727,$0,1,53,38,''
403748,$0,4,26,,''
403762,$0,0,40,,''
403782,$0,0,54,47,''
403797,$2525000,7,46,,''
403844,$0,6,44,,''
403846,$172970,2,34,,''
403888,$0,0,58,,''
403897,$0,0,61,58,''
403950,$360500,3,36,38,''
403968,$1.19256,3,57,70,''
403972,$1940700,4,84,,''
