110272,$1558200,9,45,49,111.3,''
114861,$99.99999999999999,8,34,32,99.99999999999999,''
123306,$100,6,30,33,100.00000000000001,''
135322,$450000,8,40,,200,''
137161,$99.99999999999999,3,37,40,300,''
153247,$99.79999999999998,3,26,,99.79999999999998,''
170075,$100,2,26,,100,''
200113,$210000,2,45,,50,''
226240,$100,3,24,,100,''
229279,$680000,7,33,31,99.99999999999999,''
229524,$750000,5,60,,193,''
248959,$100,3,27,,100,''
251417,$100,5,38,,399.9,''
261614,$593.9399999999999,8,60,9,98.98999999999997,''
269518,$100,1,33,34,100,''
275934,$2500000,4,40,40,100,''
278561,$100,6,30,55,400,''
280272,$100,3,33,,200,''
282904,$250000,5,40,,200,''
283421,$2500000,2,46,,100,''
283932,$86.4,3,50,51,86.4,''
291156,$100,7,30,,100,''
300881,$88.76,7,60,58,88.76,''
303395,$2500000,5,48,42,100,''
319439,$100,4,43,46,100,''
319920,$212000,8,48,41,106.00000000000001,''
320226,$99.99999999999999,3,70,69,99.99999999999999,''
321083,$250000,7,41,41,100,''
321155,$2559250,16,57,47,102.36999999999999,''
321219,$1547000,3,58,,99.8,''
321313,$99.99999999999999,5,,,300,''
321324,$100,6,41,,400,''
321404,$99.99999999999999,5,33,34,99.99999999999999,''
321406,$127.09999999999998,5,32,,127.09999999999998,''
321474,$725000,4,42,41,100,''
321508,$98.6,5,24,,98.59999999999997,''
321512,$102,2,81,,102,''
321583,$100,4,,,100,''
321594,$750000,6,55,57,600,''
321799,$24,4,66,,24,''
321939,$100,5,68,56,199.14,''
322060,$100,4,42,,200,''
322064,$397000,6,41,39,64.34000000000003,''
322117,$2.500000000000001,10,36,,400.7699999999999,''
322166,$7000700,10,59,55,100.01,''
322285,$800000,9,65,,589.93,''
322317,$100,6,30,,100,''
322393,$250000,3,28,,100,''
322617,$3440500,6,,,68.80999999999999,''
323031,$398800,7,36,42,99.70000000000002,''
323167,$341706.66771999997,4,57,,100.00399999999999,''
323440,$105,4,56,,105,''
323476,$2425250,11,53,54,97.00999999999999,''
323497,$100,4,34,38,100,''
323595,$409232.5,4,52,,100.00000000000001,''
323620,$99.6,6,,,99.6,''
323957,$100.07000000000001,4,53,57,100.07000000000001,''
323973,$100,3,30,,100,''
324193,$127400,5,30,,98,''
324316,$100.32000000000001,2,49,,100.32000000000001,''
324386,$99.99999999999999,11,48,51,998.0300000000001,''
324801,$100,3,30,,100,''
324904,$169574.39813878213,8,29,,197.72,''
324999,$130000,7,35,31,198,''
325034,$100,2,37,37,100,''
325118,$2499500,7,51,44,99.97999999999995,''
325262,$100.32,5,49,47,100.32000000000002,''
325285,$113100,2,33,,100.00057692307692,''
325323,$500000,7,36,34,100.00000000000001,''
325363,$250025,6,40,52,100.01,''
325374,$265000,5,39,36,100,''
325441,$100,3,31,,100,''
325449,$466250,3,43,,93.25,''
325545,$100,2,,,100,''
325900,$25000,3,28,,100,''
325955,$99.99999999999999,9,54,,298.7,''
325970,$64.4,15,37,,64.4,''
326132,$100,8,52,48,100,''
326462,$1548000,5,60,60,100,''
326489,$360,2,27,,6,''
326523,$520000,5,45,,100,''
326538,$65,3,56,,65,''
326659,$100,4,29,,100.00000000000001,''
326711,$100,5,27,,500,''
326777,$102.69999999999999,5,67,,102.69999999999999,''
326784,$75,2,47,45,75,''
326819,$100,2,33,,200,''
326868,$1650000,6,48,44,100,''
326936,$2500000,7,50,,100,''
326971,$500500,9,49,,100.10000000000001,''
327307,$1.1,16,28,,396.4,''
327314,$100,4,33,,100,''
327384,$100,4,32,,245,''
327589,$1.0999999999999999,6,60,54,100,''
327676,$99.99,4,49,,99.98999999999998,''
327710,$100,4,35,34,100,''
327812,$308379.4,5,40,,135.76999999999998,''
327814,$657800,5,28,,200,''
327909,$1887480,6,54,54,88.20000000000002,''
327919,$59,5,30,31,59,''
327958,$100,2,21,,100,''
327982,$750000,7,39,,100,''
328037,$100,2,52,,100,''
328088,$100.33,4,36,,100.33,''
328137,$41.9,2,29,,41.9,''
328367,$100,8,37,34,100,''
328500,$97.10999999999999,6,56,57,97.11,''
328740,$100.39,6,58,5,100.39000000000001,''
329399,$99.99999999999999,7,63,,600.0500000000001,''
329451,$99,7,56,,99,''
329658,$100,5,45,39,400,''
329827,$3000300,9,40,35,100.01,''
330327,$92.9,8,41,42,92.90000000000002,''
330352,$99.98,5,52,,99.98,''
330531,$100,3,48,,100,''
330547,$54390,4,27,,88,''
330730,$550000,4,34,,100,''
330884,$100,5,42,3,100,''
330910,$44200,3,23,,100,''
330930,$100,5,,,100,''
331018,$193750,4,36,35,77.5,''
331129,$100,1,30,,100,''
331235,$100,5,,,100,''
331236,$3,2,33,,3,''
331310,$490000,6,40,,100,''
331521,$878550,8,54,,175.71,''
331546,$100,4,26,,100,''
